מזהה,סוג,"מק""ט",Name,Categories,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של  המבצע,תאריך סיום של  המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה, מבצע, רגיל,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 ערכים,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים
1097,simple,,צלחת מרובעת,מפרץ ההרפתקאות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1098,simple,,צלחת מרובעת מפרץ ההרפתקאות,מפרץ ההרפתקאות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,1,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1099,simple,,צלחת מרובעת מפרץ ההרפתקאות,מפרץ ההרפתקאות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17.9,,,,,,,,,,,,2,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1100,simple,,צלחת עגולה מפרץ ההרפתקאות,מפרץ ההרפתקאות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,15.9,,,,,,,,,,,,3,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1101,simple,,מפיות מפרץ ההרפתקאות,מפרץ ההרפתקאות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,4,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1102,simple,,כוסות מפרץ ההרפתקאות,מפרץ ההרפתקאות,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.9,,,,,,,,,,,,5,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1103,simple,,צלחת מרובעת נסיכות,נסיכות ,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17.9,,,,,,,,,,,,6,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1104,simple,,צלחת עגולה נסיכות,נסיכות ,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,7,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1105,simple,,מפיות נסיכות,נסיכות ,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,8,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1106,simple,,מפיות טירת נסיכות ,נסיכות ,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,,,,,,,,,9,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1107,simple,,כוסות טירת נסיכות ,נסיכות ,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.9,,,,,,,,,,,,10,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1108,simple,,מנשפים נסיכות,נסיכות ,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10.9,,,,,,,,,,,,11,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1109,simple,,צלחת מרובעת LOL,lol,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,12,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1110,simple,,צלחת עגולה LOL,lol,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,16.9,,,,,,,,,,,,13,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1111,simple,,צלחת עגולה LOL,lol,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,14,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1112,simple,,מפיות 202 LOL,lol,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,19.9,,,,,,,,,,,,15,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1113,simple,,כוסות 202 LOL,lol,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,16,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1114,simple,,צלחת מרובעת אנה ,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14,,,,,,,,,,,,17,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1115,simple,,צלחת מרובעת אלזה,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14,,,,,,,,,,,,18,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1116,simple,,צלחת עגולה אנה ואלזה,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,19,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1117,simple,,צלחת עגולה אנה ואלזה,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,20,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1118,simple,,מפיות אנה ואלזה ,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,,,,,,,,,21,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1119,simple,,כוסות אנה ואלזה ,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.9,,,,,,,,,,,,22,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1120,simple,,מנשפים אנה ואלזה ,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10.9,,,,,,,,,,,,23,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1121,simple,,כובעים אנה ואלזה,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10.9,,,,,,,,,,,,24,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1122,simple,,צלחת פרוזן עגולה ,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,25,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1123,simple,,צלחת אולף עגולה ,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,16.9,,,,,,,,,,,,26,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1124,simple,,כוסות קרטון אולף,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,27,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1125,simple,,דלי פופקורן אנה ואלזה תלת מימד,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,28,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1126,simple,,דלי פופקורן אנה ואלזה,אנה ואלזה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,15,,,,,,,,,,,,29,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
