מזהה,סוג,"מק""ט",Name,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,מחיר רגיל,Categories,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 ערכים,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים
1096,simple,,צלחת מרובעת,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > מפרץ ההרפתקאות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1097,simple,,צלחת מרובעת קרטון,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > מפרץ ההרפתקאות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":6,""he"":6}}",1,1,,,,,,,,
1098,simple,,צלחת עגולה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > מפרץ ההרפתקאות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1099,simple,,מפיות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > מפרץ ההרפתקאות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":2,""he"":2}}",1,1,,,,,,,,
1100,simple,,כוסות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > מפרץ ההרפתקאות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1103,simple,,צלחת מרובעת,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > נסיכות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":6,""he"":6}}",1,1,,,,,,,,
1104,simple,,צלחת עגולה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > נסיכות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1105,simple,,מפיות נסיכות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > נסיכות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":2,""he"":2}}",1,1,,,,,,,,
1106,simple,,מפיות טירת נסיכות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > נסיכות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1107,simple,,כוסות טירת נסיכות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,בנות מוצרים > נסיכות,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,0,"{""total"":0,""to_translate"":{""en"":6,""he"":6}}",1,1,,,,,,,,
