מזהה,סוג,"מק""ט",Name,מחיר רגיל,Categories,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,תגיות,Shipping class, תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,,,
,,,מפרץ ההרפתקאות,,,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,1,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4982,simple,,פריט,מחיר,,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,2,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4983,simple,,צלחת מרובעת מפרץ ההרפתקאות,13.9,בנות > מפרץ ההרפתקאות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,3,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4984,simple,,צלחת מרובעת מפרץ ההרפתקאות,17.9,בנות > מפרץ ההרפתקאות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,4,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4985,simple,,צלחת עגולה מפרץ ההרפתקאות,15.9,בנות > מפרץ ההרפתקאות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,5,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4986,simple,,מפיות מפרץ ההרפתקאות,13.9,בנות > מפרץ ההרפתקאות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,6,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4987,simple,,כוסות מפרץ ההרפתקאות,9.9,בנות > מפרץ ההרפתקאות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,7,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4988,simple,,שקיות הפתעה מפרץ ההרתפקאות,7.9,בנות > מפרץ ההרפתקאות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,8,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4989,simple,,כרזות קישוט מפרץ ההרפתקאות,18.9,בנות > מפרץ ההרפתקאות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,9,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
4990,simple,,שרשרת דגלים לקישוט מפרץ ההרפתקאות,9.9,בנות > מפרץ ההרפתקאות,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,10,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
