מזהה,סוג,"מק""ט",Name,שיוך 1 ערכים,שיוך 2 ערכים,מחיר רגיל,Categories,מיקום,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate,שיוך 1 שמות,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור
4998,simple,412512,צלחת מרובעת מפרץ ההרפתקאות,8 יח',"17.8 ס""מ",13.9,בנות > מפרץ ההרפתקאות,0,"{""total"":0,""to_translate"":{""en"":24,""he"":24}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
4999,simple,412513,צלחת מרובעת מפרץ ההרפתקאות,8 יח',"23 ס""מ",17.9,בנות > מפרץ ההרפתקאות,0,"{""total"":0,""to_translate"":{""en"":22,""he"":22}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5000,simple,412514,צלחת עגולה מפרץ ההרפתקאות,8 יח',"21.9 ס""מ",15.9,בנות > מפרץ ההרפתקאות,0,"{""total"":0,""to_translate"":{""en"":28,""he"":28}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5001,simple,412515,מפיות מפרץ ההרפתקאות,20 יח,,13.9,בנות > מפרץ ההרפתקאות,0,"{""total"":0,""to_translate"":{""en"":29,""he"":29}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5002,simple,412516,כוסות מפרץ ההרפתקאות,8 יח',"200 מ""ל",9.9,בנות > מפרץ ההרפתקאות,0,"{""total"":0,""to_translate"":{""en"":28,""he"":28}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5003,simple,412517,שקיות הפתעה מפרץ ההרתפקאות,12 יח,,7.9,בנות > מפרץ ההרפתקאות,0,"{""total"":0,""to_translate"":{""en"":26,""he"":26}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5004,simple,412518,כרזות קישוט מפרץ ההרפתקאות,מחולק ל 5 יחידות,,18.9,בנות > מפרץ ההרפתקאות,0,"{""total"":0,""to_translate"":{""en"":26,""he"":26}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5005,simple,412519,שרשרת דגלים לקישוט מפרץ ההרפתקאות,1 יח,3 מטר,9.9,בנות > מפרץ ההרפתקאות,0,"{""total"":0,""to_translate"":{""en"":28,""he"":28}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
,,412520,נסיכות ,,,,,0,"{""total"":28,""to_translate"":{""en"":28}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים.",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
,,412521,פריט,כמות,גודל,מחיר,,0,"{""total"":0,""to_translate"":{""en"":30,""he"":30}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
