מזהה,סוג,"מק""ט",Name,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,מחיר רגיל,Categories,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 ערכים,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים,כלים: _wp_page_template,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate
9294,simple,413845,סוכריות פנינה ורוד בייבי,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,15,אפייה ועוגות > סוכריות > סוכריות פנינה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,80 גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9294,simple,413845,סוכריות פנינה ירוק בהיר ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,15,אפייה ועוגות > סוכריות > סוכריות פנינה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,81 גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9294,simple,413845,סוכריות פנינה צבעוני,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,15,אפייה ועוגות > סוכריות > סוכריות פנינה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,82 גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9295,simple,413846,זהב,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,,אפייה ועוגות > תמציות טעם מלכת הג'לי,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,כמות,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9296,simple,413847,צלחות זהב ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,17.9,אירוח לכל גיל > זהב,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,8יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9297,simple,413848,צלחות חמסה זהב,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,13.9,אירוח לכל גיל > זהב,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,10יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9298,simple,413849,קשים זהב,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,7,אירוח לכל גיל > זהב,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,12יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9299,simple,413850,קשים זהב עם פרנזים,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,12.9,אירוח לכל גיל > זהב,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,12יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9300,simple,413851,קופסאות פופקורן,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,13.9,אירוח לכל גיל > זהב,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,6יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9301,simple,413852,מפיות קוקטייל HP מוטבע זהב על לבן,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,17.9,אירוח לכל גיל > זהב,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,20יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
